"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3882","TC-005 search returns results for installation","firefox","2026-06-12","passed","2026-06-12","","smoke/tc-0005-search.spec.js","",""
"","3454","TC-005 search returns results for installation","chromium","2026-06-12","passed","2026-06-12","","smoke/tc-0005-search.spec.js","",""
"","4369","TC-003 issues list is available","firefox","2026-06-12","passed","2026-06-12","","smoke/tc-003-issues.spec.js","",""
"","4584","TC-005 search returns results for installation","webkit","2026-06-12","passed","2026-06-12","","smoke/tc-0005-search.spec.js","",""
"","3506","TC-001 home page loads with status 200 and has main navigation","firefox","2026-06-12","passed","2026-06-12","","smoke/tc-001-home.spec.js","",""
"","5307","TC-002 download page shows release artifacts","webkit","2026-06-12","passed","2026-06-12","","smoke/tc-002-download.spec.js","",""
"","3021","TC-001 home page loads with status 200 and has main navigation","chromium","2026-06-12","passed","2026-06-12","","smoke/tc-001-home.spec.js","",""
"","5541","TC-003 issues list is available","webkit","2026-06-12","passed","2026-06-12","","smoke/tc-003-issues.spec.js","",""
"","3602","TC-001 home page loads with status 200 and has main navigation","webkit","2026-06-12","passed","2026-06-12","","smoke/tc-001-home.spec.js","",""
"","4112","TC-004 wiki page shows project content","firefox","2026-06-12","passed","2026-06-12","","smoke/tc-004-wiki.spec.js","",""
"","3878","TC-002 download page shows release artifacts","firefox","2026-06-12","passed","2026-06-12","","smoke/tc-002-download.spec.js","",""
"","3625","TC-004 wiki page shows project content","chromium","2026-06-12","passed","2026-06-12","","smoke/tc-004-wiki.spec.js","",""
"","5566","TC-004 wiki page shows project content","webkit","2026-06-12","passed","2026-06-12","","smoke/tc-004-wiki.spec.js","",""
"","3580","TC-002 download page shows release artifacts","chromium","2026-06-12","passed","2026-06-12","","smoke/tc-002-download.spec.js","",""
"","4905","TC-003 issues list is available","chromium","2026-06-12","passed","2026-06-12","","smoke/tc-003-issues.spec.js","",""
